,Agfe,Agfi,Agre,Amin,Anha,Anme,Anni,Cago,Chem,Chla,Cyco,Cyfu,Cysi,Dipo,Dite,Hasp,Noni,Noae,Olpa,Plan,Plte,Psar,Ptad,Ptcc,Ptcv,Ptdi,Ptla,Ptme,Ptmo,Ptmu,Ptro,Ptst,Ptts,Scvi,Spca,Sple,Trau,Nior,Nito,Nide,Neam,Nisa,Cach,Comi,Didi,Gese,Gesp,Geba,Trva,Onhe,Onor,Onst,Seri,Dist,Atae,Odon
C41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS42,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,1,0,0,0,0,1.2,0,0,1,0,0,0,1,0,8,0,2,0,0,0,1.1,0,0,1,0,0,1,0,1,0,0,0,0,0,1.1,3,0.9,0,0,0,0,0
B43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C44,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1.9,0,0,0,0.9,1,0,0,0,0,0,0,0,0,0.9,0,0,1,0,0,0,0,0,0,0,0
C45,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,15.3,0,0,0,0,13.5,0,0,0,2,0,0,2,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
BS46,0,0,0,0,0,0,0,0,10.3,2,0,0,0,2,2,0,1,0,0,3.2,0,0,3,3,0,0,1,0,9,0,0,4,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
B47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,1,0,0,1,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C48,0,0,0,0,0,0,0,5.2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,6.3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,1,1.2,11,5,5.2,0,0,0,0,0,0,0,0
BS49,1.1,31.9,0,1.2,2.2,1,0,0,2.2,0,0,1.1,0,1.1,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,60.9,0,0,0,3.2,1.1,1,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0
C50,0,0,0,2.1,0,0,0,0,5.8,0,0,0,0,0,1,0,0,0,1,2.1,0,0,0,4.8,0,0,0,0,1.9,0,0,2,0,0,0.9,4.9,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0
